FILE_PATH,TITLE,ARTIST,ALBUM,ALBUM_ARTIST,COMPOSER,GENRE,YEAR,DURATION_MS,PLAY_COUNT
"Songs/Calm/LISA, Doja Cat, RAYE - Born Again (feat. Doja Cat & RAYE).mp3",Born Again (feat. Doja Cat & RAYE),LISA/Doja Cat/RAYE,Alter Ego,LISA,<unknown>,<unknown>,0,231192,4
Songs/Calm/Laufey - Lover Girl.mp3,Lover Girl,Laufey,A Matter of Time,Laufey,<unknown>,<unknown>,0,164424,3
Songs/Calm/London Grammar - Non Believer.mp3,Non Believer,London Grammar,Truth Is a Beautiful Thing (Deluxe),London Grammar,<unknown>,<unknown>,0,257784,2
"Songs/Calm/Massive Attack, Elizabeth Fraser - Teardrop - Remastered 2006.mp3",Teardrop,Massive Attack/Elizabeth Fraser,Mezzanine,Massive Attack,<unknown>,Trip Hop,0,330816,2
Songs/Calm/Ellie Goulding - Love Me Like You Do.mp3,Love Me Like You Do,Ellie Goulding,恋したくなるラブソング,ヴァリアス・アーティスト,<unknown>,<unknown>,0,249240,2
"Songs/Calm/The Irrepressibles, Röyksopp - In This Shirt - Royksopp Remix.mp3",In This Shirt - Royksopp Remix,The Irrepressibles/Röyksopp,In This Shirt,The Irrepressibles,<unknown>,<unknown>,0,634440,1
Songs/Calm/Junip - Far Away.mp3,Far Away,Junip,Fields (Deluxe Edition),Junip,<unknown>,<unknown>,0,166224,1
"Songs/Calm/Loving Caliber, Lauren Dunn - Chemicals.mp3",Chemicals,Loving Caliber/Lauren Dunn,Chemicals,Loving Caliber,<unknown>,<unknown>,0,198768,1
Songs/Calm/London Grammar - Fakest Bitch.mp3,Fakest Bitch,London Grammar,The Greatest Love (Deluxe),London Grammar,<unknown>,<unknown>,0,259272,1
Songs/Calm/Robots Don't Sleep - Arms.mp3,Arms,Robots Don't Sleep,Mirror,Robots Don't Sleep,<unknown>,<unknown>,0,243288,1
"Songs/Calm/George FitzGerald, London Grammar - The Last Transmission.mp3",The Last Transmission,George FitzGerald/London Grammar,Stellar Drifting,George FitzGerald,<unknown>,<unknown>,0,227088,1
Songs/Calm/London Grammar - Missing.mp3,Missing,London Grammar,Californian Soil,London Grammar,<unknown>,<unknown>,0,215832,1
Songs/Calm/The Neighbourhood - Cry Baby.mp3,Cry Baby,The Neighbourhood,Wiped Out!,The Neighbourhood,<unknown>,<unknown>,0,235200,1
Songs/Calm/Robots Don't Sleep - Happy People.mp3,Happy People,Robots Don't Sleep,Mirror,Robots Don't Sleep,<unknown>,<unknown>,0,224616,1
